gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0.0,0.2083333333333333,0.8258706467661691,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.1289433384379785,1.0
0.0,0.4861111111111111,0.436318407960199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.2644716692189893,0.0
0.0,1.0,0.4248756218905473,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5937212863705972,0.0
0.0,0.5,0.4223880597014925,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.2860643185298621,0.0
0.0,0.9027777777777776,0.8935323383084576,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.8552833078101072,0.0
0.0,0.0694444444444444,0.3079601990049751,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.2721286370597243,1.0
0.0,0.0138888888888888,0.5238805970149254,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8451761102603369,1.0
0.0,1.0,0.8960199004975123,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8970903522205207,0.0
0.0,0.1944444444444444,0.6751243781094527,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0660030627871362,1.0
0.0,0.9027777777777776,0.9059701492537312,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.8710566615620214,0.0
1.0,0.4861111111111111,0.2149253731343283,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.1231240428790199,0.0
0.0,0.1388888888888889,0.464179104477612,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.8284839203675344,0.0
1.0,0.0138888888888888,0.0651741293532338,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3130168453292496,1.0
0.0,0.1944444444444444,0.7104477611940299,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0581929555895865,1.0
0.0,0.25,0.5626865671641791,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1234303215926493,0.0
1.0,0.25,0.6199004975124378,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1154670750382848,0.0
0.0,0.0972222222222222,0.6,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6696784073506891,0.0
0.0,0.3055555555555555,0.0218905472636815,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.6107197549770291,0.0
